catalog_version,catalog_code,catalog_hash,param_id,row_code,calibration_valid,status,reason_codes,picks_count,trade_count,coverage_days,avg_ret_net_top,median_ret_net_top,p25_ret_net_top,month_win_rate_min,month_avg_ret_net_min,win_rate_top
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,80,07_BREAKOUT_NEAR_NOT_EXTENDED,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,581,581,494,-0.0025964560655705677,-0.009652019304038608,-0.03542640859525979,0.13636363636363635,-0.021073587235849168,0.387263339070568
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,81,08_LOW_ATR_SAMPLE_RECOVERY,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,497,497,488,-0.0054674908160175124,-0.011608258761185822,-0.03371747773136732,0.1111111111111111,-0.029170509521021525,0.36619718309859156
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,82,09_ANTI_CHASE_SOFT_CONFIRM,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,586,586,497,-0.0017353466931151783,-0.007705177735821815,-0.032707601861828195,0.14285714285714285,-0.026452438864906502,0.3890784982935154
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,83,10_BROAD_SAMPLE_CONTROL,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,886,886,495,-0.0010740336444750628,-0.011447180732360212,-0.038483649037658545,0.1875,-0.019985004363505567,0.38826185101580135
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,84,11_STRICT_NOT_BRITTLE_FINAL_PROBE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,446,446,488,-0.004299734604941437,-0.011670993611743358,-0.03662197822519823,0.125,-0.029170509521021525,0.3834080717488789
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,85,00_C04_BREAKOUT_VOLUME_RISK_REFERENCE,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_STABILITY_FAIL,9,9,507,0.014132942016467816,0.016637434227010774,-0.006100915137270591,0,-0.034389973092196734,0.6666666666666666
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,86,01_MODERATE_DV20_VOLUME_CORE,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_STABILITY_FAIL,24,24,508,0.0030409820730720994,0.004678648282005138,-0.02717910871808043,0,-0.048360503878611884,0.5
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,87,02_MODERATE_DV20_ROC_STRICT,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL,24,24,508,-0.004957184140729794,-0.016500406260621204,-0.028383434842003286,0,-0.06377551020408163,0.4166666666666667
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,88,03_VOLUME_1_2_TO_1_5_NEAR_BELOW,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL,52,52,504,0.0013133660572406717,-0.0033047681326961267,-0.028383434842003286,0,-0.0547926916649493,0.38461538461538464
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,89,04_DV20_5B_7B_EXTENSION_CONTROL,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,37,37,505,-0.007015721737732587,-0.0167565890231329,-0.034389973092196734,0,-0.06377551020408163,0.32432432432432434
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,90,05_ROC_2_TO_5_LOW_ATR,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL,37,37,507,-0.002690277905579104,-0.016244223498109507,-0.024884635789431536,0,-0.06377551020408163,0.3783783783783784
