source_id,original_path,original_sha1,source_start_line,source_end_line,extract_id,extract_role,extract_path,extract_body_sha1,coverage_status
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,103,129,LX-MD-0022-CTX-01,CONTEXT,records/history/archive/semantic/LX-MD-0022-CTX-01_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,1C37750A2277C0276686CDABF57A62D0DDB17728,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,130,138,LX-MD-0022-IMP-03,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0022-IMP-03_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,4B38B8D9D5AF80E96F0482AE695C03C8C346A44F,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,139,149,LX-MD-0022-EVD-01,EVIDENCE,records/evidence/legacy/semantic/LX-MD-0022-EVD-01_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,E55BB055DD0898CB2798641F71D36DA736FB9111,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,150,152,LX-MD-0022-GOV-02,GOVERNANCE,records/history/archive/semantic/LX-MD-0022-GOV-02_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,3581274E69E72254571A71BB1163E283629CEF19,COVERED_EXACTLY_ONCE
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,1,10,LX-MD-0023-IMP-01,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0023-IMP-01_DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,08F500A2136A698ADDB32B1F833CDB3AE6F24A94,COVERED_EXACTLY_ONCE
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,11,16,LX-MD-0023-GOV-01,GOVERNANCE,records/history/archive/semantic/LX-MD-0023-GOV-01_DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,46584F266FC24FFA8BE1863A4E4750B558FA288C,COVERED_EXACTLY_ONCE
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,17,36,LX-MD-0023-FND-01,FINDING,records/history/archive/semantic/LX-MD-0023-FND-01_DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,F00D196403FB3EC2E365E421D6D0EA695BD1212B,COVERED_EXACTLY_ONCE
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,37,44,LX-MD-0023-CTX-01,CONTEXT,records/history/archive/semantic/LX-MD-0023-CTX-01_DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,E74BFF0D36C3F5D7B3C16A871EA224D08C24A3DF,COVERED_EXACTLY_ONCE
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,45,56,LX-MD-0023-IMP-02,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0023-IMP-02_DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,AF9839A297B3336005265D9308346C46F0608840,COVERED_EXACTLY_ONCE
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,57,80,LX-MD-0023-EVD-01,EVIDENCE,records/evidence/legacy/semantic/LX-MD-0023-EVD-01_DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,D8735076CF73EAA14786A53D866CCA8651A0296C,COVERED_EXACTLY_ONCE
